,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-04-10,8775.0,2706.0599365234375,1348.5400390625,86.20999908447266,1.8849999904632568,2.781599998474121,845.0,2397.25,8553.0,-1.405617336162185,55.9044758857431,8.333333333333325,113.92857142857143,2.311849031194477
2024-04-11,8850.0,2706.9599609375,1363.760009765625,85.0199966430664,1.7640000581741333,2.7741000652313232,850.0,2398.75,8675.0,-1.0008174182566052,58.94921507318101,9.259259259259256,111.42857142857143,2.526946839276306
2024-04-12,9100.0,2681.820068359375,1367.8399658203125,85.66000366210938,1.7699999809265137,2.8029000759124756,845.0,2436.25,8797.0,-0.4422907781034574,67.10324162856405,11.931119311193106,113.57142857142857,2.70340077537557
2024-04-15,8990.0,2670.429931640625,1379.6099853515625,85.41000366210938,1.690999984741211,2.783900022506714,845.0,2521.25,8883.0,-0.10324183108615223,61.330713803280545,10.171568627450988,102.14285714285714,2.211640951472944
2024-04-16,9000.0,2609.6298828125,1387.6700439453125,85.36000061035156,1.7319999933242798,2.8222999572753906,845.0,2515.75,8943.0,0.17144128033507217,61.65366610350477,9.756097560975618,80.0,2.1275900279243274
2024-04-17,8900.0,2584.179931640625,1387.3399658203125,82.69000244140625,1.7120000123977661,2.7286999225616455,840.0,2590.5,8968.0,0.29280206604580916,56.56606687574431,8.272506082725052,87.14285714285714,1.5816064657522233
2024-04-18,8750.0,2634.699951171875,1379.5400390625,82.7300033569336,1.7569999694824219,2.71370005607605,840.0,2601.5,8948.0,0.24797659677192446,49.91270647798181,6.189320388349517,95.71428571428571,0.8962853297952549
2024-04-19,8750.0,2591.860107421875,1379.4000244140625,83.13999938964844,1.7519999742507935,2.7102999687194824,843.0,2680.0,8878.0,0.21003105483782436,49.91270647798181,3.062426383981154,93.57142857142857,0.5344461987405609
2024-04-22,8650.0,2629.43994140625,1373.9300537109375,82.8499984741211,1.7910000085830688,2.6854000091552734,843.0,2660.75,8810.0,0.08681157373322274,45.75194574252035,1.0514018691588856,97.85714285714286,0.019653263423592193
2024-04-23,8650.0,2623.02001953125,1378.8399658203125,83.36000061035156,1.812000036239624,2.7253000736236572,843.0,2572.0,8740.0,-0.010864853398631856,45.75194574252035,-0.5747126436781658,96.42857142857143,-0.192730506790042
