,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-03-28,72.5,3010.6640625,7.225800037384033,83.16999816894531,1.7630000114440918,2.7611000537872314,860.0,72.538,0.13401586514331934,57.035248021529654,1.115760111576014,0.25535714285714206,0.21906603137042424
2024-03-29,73.0,3041.1669921875,7.226500034332275,83.30499839782715,1.7815000116825104,2.7483250498771667,860.75,72.638,0.2047271385351026,61.69348035974681,1.671309192200554,0.26428571428571346,0.43594143581164246
2024-04-01,72.8,3077.37890625,7.220300197601318,83.70999908447266,1.8370000123977661,2.7100000381469727,863.0,72.718,0.18910095166427707,58.94071671413344,1.6759776536312998,0.27857142857142797,0.1668503343728993
2024-04-02,73.0,3074.958984375,7.229700088500977,85.1500015258789,1.8619999885559082,2.7588999271392822,879.0,72.82000000000001,0.21071645390506097,60.82325032153754,0.6896551724137945,0.27142857142857124,0.3597812170231478
2024-04-03,73.0,3069.2958984375,7.232399940490723,85.43000030517578,1.840999960899353,2.7609000205993652,860.0,72.85999999999999,0.20966644909393983,60.82325032153754,0.550964187327807,0.23571428571428552,0.4060001038325076
2024-04-04,73.02,3064.847314453125,7.234399795532227,86.58999633789062,1.7740000486373901,2.7941999435424805,853.0,72.964,0.200502427988143,61.030467585643656,0.44016506189821225,0.22999999999999993,0.7061805480879286
2024-04-05,73.03999999999999,3060.39873046875,7.23390007019043,86.91000366210938,1.784999966621399,2.788599967956543,853.0,72.972,0.1874779489200863,61.25118704305101,0.7448275862068865,0.21714285714285658,1.0829652254571513
2024-04-08,73.1,3047.052978515625,7.231400012969971,86.43000030517578,1.843999981880188,2.7486000061035156,847.0,73.032,0.1814416335042542,61.947500127789155,0.966850828729271,0.15714285714285633,1.4568348457029998
2024-04-09,73.2,3048.537109375,7.229700088500977,85.2300033569336,1.871999979019165,2.7555999755859375,845.0,73.07199999999999,0.1878612536330154,63.13648500296185,0.9794454407504594,0.15714285714285633,1.7955237952851206
2024-04-10,73.1,3027.3349609375,7.2307000160217285,86.20999908447266,1.8849999904632568,2.781599998474121,845.0,73.09200000000001,0.15921818288680742,61.0811389798275,0.4120879120879106,0.15714285714285733,1.452667111451884
2024-04-11,73.45,3034.24609375,7.231500148773193,85.0199966430664,1.7640000581741333,2.7741000652313232,850.0,73.178,0.206416137204685,65.33469625390076,1.3103448275862073,0.16785714285714345,1.4985287306608441
2024-04-12,72.85,3019.47412109375,7.235899925231934,85.66000366210938,1.7699999809265137,2.8029000759124756,845.0,73.14,0.09536238286245831,54.3653185732731,-0.205479452054802,0.2035714285714302,1.0628785993680694
2024-04-15,73.48,3057.3779296875,7.235599994659424,85.41000366210938,1.690999984741211,2.783900022506714,845.0,73.216,0.1594964154637142,61.64671481827766,0.934065934065953,0.24214285714286024,1.1062145820784721
2024-04-16,73.9,3007.068115234375,7.236999988555908,85.36000061035156,1.7319999933242798,2.8222999572753906,845.0,73.356,0.27138538888298386,65.58869315228009,1.2328767123287676,0.25000000000000305,1.3415597948165008
2024-04-17,74.12,3071.381103515625,7.236199855804443,82.69000244140625,1.7120000123977661,2.7286999225616455,840.0,73.55999999999999,0.3608665975332459,67.47448567670081,1.5342465753424683,0.24428571428571746,1.6340592186805587
